Date,Tickets
05:23,11
05:24,78
05:25,29
05:26,7
05:27,7
05:28,6
05:29,9
05:30,5
05:31,5
05:32,5
05:33,4
05:34,5
05:35,5
05:36,7
05:37,4
05:38,5
05:39,4
05:40,3
05:41,9
05:42,7
05:43,6
05:44,4
05:45,9
05:46,4
05:47,13
05:48,0
05:49,0
05:50,0
05:51,0
05:52,2
05:53,16
05:54,12
05:55,6
05:56,10
05:57,7
05:58,3
05:59,2
06:00,4
06:01,0
06:02,0
06:03,3
06:04,1
06:05,3
06:06,3
06:07,2
06:08,5
06:09,0
06:10,3
06:11,1
06:12,2
06:13,4
06:14,11
06:15,25
06:16,4
06:17,2
